,전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),경로코드
396,1749,서동탄,Seodongtan,01호선,P157-1,西東灘,西東灘,1187
397,1759,안산,Ansan,04호선,453,安山,安山,453
398,1762,오이도,Oido,04호선,456,烏耳島,烏耳島,456
399,1810,제물포,Jemulpo,01호선,158,濟物浦,濟物浦,158
400,2549,강동,Gangdong,05호선,548,江東,江東,548
401,2553,고덕,Godeok,05호선,552,高德,高德,552
402,2560,거여,Geoyeo,05호선,P554,巨余,巨余,574
403,2611,응암,Eungam,06호선,610,鷹岩,鷹岩,610
404,2613,불광,Bulgwang,06호선,612,佛光,佛光,612
405,2614,독바위,Dokbawi,06호선,613,瓮岩,トクバウィ,613
406,2617,새절,Saejeol,06호선,616,Saejeol,セジョル,616
407,2618,증산,Jeungsan,06호선,617,繒山,繒山,617
408,2619,디지털미디어시티,Digital Media City,06호선,618,數碼媒體城,デジタルメディアシティ,618
409,2620,월드컵경기장,World Cup Stadium,06호선,619,世界杯競技場,ワ？ルドカップ競技場,619
410,2621,마포구청,Mapo-gu Office,06호선,620,麻浦區廳,麻浦區廳,620
411,2624,상수,Sangsu,06호선,623,上水,上水,623
412,1717,세마,Sema,01호선,P158,洗馬,洗馬,187
413,1723,평택지제,PyeongtaekJije,01호선,P164,芝制,芝制,1403
414,1760,신길온천,Neunggil,04호선,454,新吉溫泉,新吉溫泉,454
415,1801,개봉,Gaebong,01호선,143,開峰,開峰,143
416,1807,백운,Baegun,01호선,153,白雲,白雲,153
421,2538,청구,Cheonggu,05호선,537,靑丘,靑丘,537
422,2562,강일,Gangil,05호선,554,江一,ハナンプンサン,554
423,2625,광흥창,Gwangheungchang,06호선,624,廣興倉,廣興倉,624
424,2626,대흥,Daeheung,06호선,625,大興,大興,625
425,2630,녹사평,Noksapyeong,06호선,629,綠莎坪,綠莎坪,629
426,2631,이태원,Itaewon,06호선,630,梨泰院,梨泰院,630
427,2632,한강진,Hangangjin,06호선,631,漢江鎭,漢江鎭,631
428,2633,버티고개,Beotigogae,06호선,632,波堤通,ポティゴゲ,632
429,2634,약수,Yaksu,06호선,633,藥水,ヤクス,633
430,2639,보문,Bomun,06호선,638,普門,普門,638
431,2640,안암,Anam,06호선,639,安岩,安岩,639
432,2646,태릉입구,Taereung,06호선,645,泰陵,泰陵入口,645
433,2719,태릉입구,Taereung,07호선,717,泰陵,泰陵入口,717
443,1903,도봉산,Dobongsan,01호선,113,道峰山,道峰山,114
444,1916,소요산,Soyosan,01호선,100,逍遙山,逍遙山,100
445,2516,발산,Balsan,05호선,515,鉢山,鉢山,515
446,2518,화곡,Hwagok,05호선,517,禾谷,禾谷,517
447,2552,명일,Myeongil,05호선,551,明逸,明逸,551
448,2557,방이,Bangi,05호선,P551,芳荑,芳荑,571
449,2564,하남풍산,Hanam Pungsan,05호선,556,河南豊山,ハナンプンサン,556
450,2565,하남시청,Hanam City Hall,05호선,557,河南市?(德쎱?新?),ハナムシチョン (トクプン?シンジャン),557
451,2566,하남검단산,Hanam Geomdansan,05호선,558,河南黔丹山,ハナムゴムダンサン,558
454,1907,가능,Ganeung,01호선,109,佳陵,佳陵,110
455,1908,녹양,Nogyang,01호선,108,綠楊,綠楊,108
456,1914,보산,Bosan,01호선,102,保山,保山,102
457,2528,여의나루,Yeouinaru,05호선,527,汝矣渡口,汝矣ナル,527
458,2531,애오개,Aeogae,05호선,530,兒嶺,エオゲ,530
459,2532,충정로,Chungjeongno,05호선,531,忠正路,忠正路,531
460,2533,서대문,Seodaemun,05호선,532,西大門,西大門,532
461,2534,광화문,Gwanghwamun,05호선,533,光化門,光化門,533
462,2612,역촌,Yeokchon,06호선,611,驛村,驛村,611
463,2623,합정,Hapjeong,06호선,622,合井,合井,622
464,2643,상월곡,Sangwolgok,06호선,642,上月谷,上月谷,642
465,2644,돌곶이,Dolgoji,06호선,643,多爾谷齊,トルゴジ,643
466,2645,석계,Seokgye,06호선,644,石溪,石溪,644
467,2647,화랑대,Hwarangdae,06호선,646,花郞臺,花郞台,646
468,2819,문정,Munjeong,08호선,818,文井,文井,818
470,2622,망원,Mangwon,06호선,621,望遠,望遠,621
471,2627,공덕,Gongdeok,06호선,626,孔德,孔德,626
472,2629,삼각지,Samgakji,06호선,628,三角地,三角地,628
473,2635,청구,Cheonggu,06호선,634,靑丘,靑丘,634
474,2636,신당,Sindang,06호선,635,新堂,新堂,635
475,2637,동묘앞,Dongmyo,06호선,636,東廟,東廟前,636
476,2638,창신,Changsin,06호선,637,昌信,昌信,637
477,2641,고려대,Korea Univ.,06호선,640,高麗大,高麗大,640
478,2642,월곡,Wolgok,06호선,641,月谷,月谷,641
479,2648,봉화산,Bonghwasan,06호선,647,烽火山,烽火山,647
480,2711,장암,Jangam,07호선,709,長岩,長岩,709
481,2712,도봉산,Dobongsan,07호선,710,道峰山,道峰山,710
482,2714,마들,Madeul,07호선,712,馬得,マドゥル,712
483,2715,노원,Nowon,07호선,713,蘆原,蘆原,713
484,2722,상봉,Sangbong,07호선,720,上鳳,上鳳,720
485,2556,올림픽공원,Olympic Park,05호선,P550,Olympic Park,オリンピック公園,570
486,2561,마천,Macheon,05호선,P555,馬川,馬川,575
487,2563,미사,Misa,05호선,555,渼沙,ミサ,555
488,2615,연신내,Yeonsinnae,06호선,614,延臣川,ヨンシンネ,614
489,2616,구산,Gusan,06호선,615,龜山,龜山,615
490,2628,효창공원앞,Hyochang park,06호선,627,孝昌公園,孝昌公園前,627
491,2716,중계,Junggye,07호선,714,中溪,中溪,714
492,2717,하계,Hagye,07호선,715,下溪,下溪,715
493,2718,공릉,Gongneung,07호선,716,孔陵,孔陵,716
494,2720,먹골,Meokgol,07호선,718,墨谷,モッコル,718
495,2721,중화,Junghwa,07호선,719,中和,中和,719
496,2723,면목,Myeonmok,07호선,721,面牧,面牧,721
497,2724,사가정,Sagajeong,07호선,722,四佳亭,四佳亭,722
498,2725,용마산,Yongmasan,07호선,723,龍馬山,龍馬山,723
499,2736,고속터미널,Express Bus Terminal,07호선,734,高速巴士客運,高速バスタ?ミナル,734
500,2649,신내,Sinnae,06호선,648,新內,シンネ,648
501,2726,중곡,Junggok,07호선,724,中谷,中谷,724
502,2727,군자,Gunja,07호선,725,君子,君子,725
503,2728,어린이대공원,Children`s  Grand Park,07호선,726,兒童大公園,子供大公園,726
504,2729,건대입구,Konkuk Univ.,07호선,727,建大入口,建大入口,727
505,2730,뚝섬유원지,Ttukseom Park,07호선,728,,トゥクソム遊園地,728
506,2731,청담,Cheongdam,07호선,729,淸潭,淸潭,729
507,2732,강남구청,Gangnam-gu Office,07호선,730,江南區廳,江南區廳,730
508,2733,학동,Hak-dong,07호선,731,鶴洞,鶴洞,731
509,2734,논현,Nonhyeon,07호선,732,論峴,論峴,732
510,2735,반포,Banpo,07호선,733,盤浦,盤浦,733
511,2737,내방,Naebang,07호선,735,內方,內方,735
512,2738,이수,Isu,07호선,736,梨水,梨水,736
513,2739,남성,Namseong,07호선,737,南城,南城,737
514,2740,숭실대입구,Soongsil Univ.,07호선,738,崇實大入口,崇實大入口,738
515,2818,가락시장,Garak Market,08호선,817,可樂市場,可樂市場,817
516,2713,수락산,Suraksan,07호선,711,水落山,水落山,711
517,2741,상도,Sangdo,07호선,739,上道,上道,739
518,2742,장승배기,Jangseungbaegi,07호선,740,長丞拜基,長丞ベギ,740
519,2743,신대방삼거리,Sindaebangsamgeori,07호선,741,新大方丁字路口,新大方サムゴリ,741
520,2744,보라매,Boramae,07호선,742,波拉梅,ポラメ,742
521,2745,신풍,Sinpung,07호선,743,新豊,新豊,743
522,2820,장지,Jangji,08호선,819,長旨,長旨,819
523,2821,복정,Bokjeong,08호선,820,福井,福井,820
528,4103,공항시장,Airport Market,09호선,903,空港市場,空港市場,903
529,4120,동작,Dongjak,09호선,920,銅雀,銅雀,920
530,4121,구반포,Gubanpo,09호선,921,舊盤浦,舊盤浦,921
531,4307,강남,Gangnam,신분당선,D7,江南,江南,D7
533,2746,대림,Daerim,07호선,744,大林,大林,744
534,2747,남구로,Namguro,07호선,745,南九老,南九老,745
535,2748,가산디지털단지,Gasan Digital Complex,07호선,746,加山數碼團地,加山デジタル團地,746
536,2749,철산,Cheolsan,07호선,747,鐵山,鐵山,747
537,2750,광명사거리,Gwangmyeongsageori,07호선,748,光明十字路口,光明サゴリ,748
538,2751,천왕,Cheonwang,07호선,749,天旺,天旺,749
539,2752,온수,Onsu,07호선,750,溫水,溫水,750
540,2811,암사,Amsa,08호선,810,岩寺,岩寺,810
541,2812,천호,Cheonho,08호선,811,千戶,千戶,811
542,2813,강동구청,Gangdong-gu Office,08호선,812,江東區廳,江東區廳,812
543,2814,몽촌토성,Mongchontoseong,08호선,813,夢村土城,夢村土城,813
544,2815,잠실,Jamsil,08호선,814,蠶室,蠶室,814
545,2816,석촌,Seokchon,08호선,815,石村,石村,815
546,2817,송파,Songpa,08호선,816,松坡,松坡,816
547,2822,산성,Sanseong,08호선,822,山城,山城,821
548,2823,남한산성입구,Namhansanseong,08호선,823,南漢山城入口,南漢山城入口,822
549,2824,단대오거리,Dandaeogeori,08호선,824,Dandaeogeori,丹垈オゴリ,823
550,2825,신흥,Sinheung,08호선,825,新興,新興,824
551,2826,수진,Sujin,08호선,826,壽進,壽進,825
552,2827,모란,Moran,08호선,827,牡丹,牡丹,826
553,2828,남위례,Namwirye,08호선,821,南慰禮,ナムィレ,831
607,3753,까치울,Kkachiul,07호선,751,鵲洞,カチウル,751
608,3754,부천종합운동장,Bucheon Stadium,07호선,752,富川綜合運動場,富川？合運動場,752
609,3755,춘의,Chunui,07호선,753,春衣,春衣,753
610,3756,신중동,Sinjung-dong,07호선,754,新中洞,新中洞,754
611,3757,부천시청,Bucheon City Hall,07호선,755,富川市廳,富川市？,755
612,3758,상동,Sang-dong,07호선,756,上洞,上洞,756
613,3759,삼산체육관,Samsan Gymnasium,07호선,757,三山體育館,三山？育館,757
614,3760,굴포천,Gulpocheon,07호선,758,掘浦川,掘浦川,758
615,3761,부평구청,Bupyeong-gu Office,07호선,759,富平區廳,富平？？,759
